Question,Answer
"I don't know, something fun?",Got it. What's your budget limit for this?
"Ehh, probably not too much, maybe like a few hundred bucks?",Understood. I'll keep that in mind while suggesting artists.
nan,No problem.
i got a promotion,Sounds nice! Where is it?
In Berlin.,"I like this area. Are you looking for a DJ, band, ensemble, or solo artist?"
Solo artist.,Good choice. Which music genre are you interested in?
Pop.,Nice. How much would you like to pay?
$600.,Noted. Check the website. Here are some artists that might interest you.
thank you very much,Sure!
birthday ,Cool! Could you tell me where is it?
birthday party,Exciting! Could you tell me where will it be happening?
in amsterdam,"Cool! Are you looking for a DJ, band, ensemble or solo artist?"
amsterdam,"Nice! Are you looking for a DJ, band, ensemble or solo artist?"
in Amsterdam,"Exctiting! Are you looking for a DJ, band, ensemble or solo artist?"
In Amsterdam!,"Fun! Are you looking for a DJ, band, ensemble or solo artist?"
dj,Great. Which music genre are you interested in?
solo artist,Okay. Which music genre are you interested in?
ensemble,Sure. Do you have a preference for the music genre?
a band,Which music genre are you interested in?
band,Do you have a preference for the music genre?
solo,Okay. Which music genre are you interested in?
pop,Okay. And the last question is how much would you like to pay?
pop,Okay! And the final question is how much would you like to pay?
700 euros,Understood. I'll show you some artists that fit your criteria.
700euros,Noted. I'll show you some artists that fit your criteria.
700,Sure thing! I'll show you some artists that fit your criteria.
jazz,Okay! And the final question is how much would you like to pay?
A dj,Great. Which music genre are you interested in?
DJ,Cool. Which music genre are you interested in?
some dj,Cool! Which music genre are you interested in?
i am interested in dj,"Alright. Do you have a preference for the music genre? Hip hop, rock, or something else?"
600,"Perfect! Based on your preferences, we'll find you the ideal artist. Thank you for choosing Gigstarter!"
500euros,"Perfect! Based on your preferences, we'll find you the ideal artist. Thank you for choosing Gigstarter!"
500,"Perfect! Based on your preferences, we'll find you the ideal artist. Thank you for choosing Gigstarter!"
750euro,Noted. I'll show you some artists that fit your criteria.
800,Noted. I'll show you some artists that fit your criteria.
1000,"Perfect! Based on your preferences, we'll find you the ideal artist. Thank you for choosing Gigstarter!"
hip hop,Okay! And the final question is how much would you like to pay?
hiphop,Okay! And the final question is how much would you like to pay?
Hip-hop,Okay! And the final question is how much would you like to pay?
Hip Hop,Sounds good! How much would you like to pay?
i like hip hop,Sounds good! How much would you like to pay?
i am interested in hip hop,Sounds good! How much would you like to pay?
Prive tuinfeest,Sounds nice! Where is it?
Fiestas de Santigo Apostol  ( Santiaguino),Exciting! Could you tell me where will it be happening?
Bruiloft,Cool! Could you tell me where is it?
Kroegavond ,Sounds nice! Where is it?
kroeg,Exciting! Could you tell me where will it be happening?
Mariage,Cool! Could you tell me where is it?
Lustrum feest van een studentenvereniging ,Cool! Could you tell me where is it?
Gala,Exciting! Could you tell me where will it be happening?
Gastkokdiner met afterparty,Exciting! Could you tell me where will it be happening?
Evenement/inzamelings actue,That sounds great! Can you share the location of the event?
Coctel boda,Cool! Could you tell me where is it?
Carpa de carnaval,That sounds great! Can you share the location of the event?
diner,Cool! Could you tell me where is it?
Apertura de un pub,Cool! Could you tell me where is it?
Evento de empresa,Sounds nice! Where is it?
Neujahrsfeier,Sounds nice! Where is it?
Opening coffee cafe Anne&Max,Sounds nice! Where is it?
zakelijk team dinner,That sounds great! Can you share the location of the event?
Bruiloft,Sounds nice! Where is it?
Nochevieja en un restaurante ,Exciting! Could you tell me where will it be happening?
Cumpleanos ,Exciting! Could you tell me where will it be happening?
"12,5 jaar huwelijk",Sounds nice! Where is it?
Neujahrsfeier,Sounds nice! Where is it?
evento corporativo,That sounds great! Can you share the location of the event?
Cumpleanos ,Cool! Could you tell me where is it?
Verjaardagsfeest voor 25 en 60 jaar,That sounds great! Can you share the location of the event?
kerstmarkt,Sounds nice! Where is it?
einde jaarsborrel,Exciting! Could you tell me where will it be happening?
Kerstdiner,Cool! Could you tell me where is it?
Feest,Exciting! Could you tell me where will it be happening?
Lista de escola ,That sounds great! Can you share the location of the event?
Festa escolar (listas do Parlamento de jovens) ,That sounds great! Can you share the location of the event?
Festa di compleanno,Cool! Could you tell me where is it?
Taylor Swift themafeest,Sounds nice! Where is it?
Oudejaarsavond ,That sounds great! Can you share the location of the event?
Evento,That sounds great! Can you share the location of the event?
bruiloft,Exciting! Could you tell me where will it be happening?
Cantar en vivo en Gastropub ,Exciting! Could you tell me where will it be happening?
Bruiloft,That sounds great! Can you share the location of the event?
Feetsje ,Cool! Could you tell me where is it?
Wedstrijd Nederland elftal ,That sounds great! Can you share the location of the event?
Kerstdiner,Exciting! Could you tell me where will it be happening?
Boda,Cool! Could you tell me where is it?
verjaardag,Sounds nice! Where is it?
Cumpleanos,Cool! Could you tell me where is it?
Aperitivo boda mediodia ,Cool! Could you tell me where is it?
Bedrijfslunch,That sounds great! Can you share the location of the event?
Fiesta privada de mascaras ,Exciting! Could you tell me where will it be happening?
Verjaardag,Cool! Could you tell me where is it?
Silvesterparty im Ferienpark Plotzky,That sounds great! Can you share the location of the event?
Regelmatig een optreden in een Taverne,Sounds nice! Where is it?
Fiesta fin de ano,Exciting! Could you tell me where will it be happening?
New Year's party,Cool! Could you tell me where is it?
bedrijfsfeest,Cool! Could you tell me where is it?
Boda,Sounds nice! Where is it?
verjaardag,That sounds great! Can you share the location of the event?
Kinderfuif groep 7,That sounds great! Can you share the location of the event?
kerstlunch ,That sounds great! Can you share the location of the event?
studenten gala,Sounds nice! Where is it?
Cumpleanos,Exciting! Could you tell me where will it be happening?
Verjaardagsfeest,Sounds nice! Where is it?
Jaarlijks dorpsfeest ,That sounds great! Can you share the location of the event?
Fiesta Fin de ano ,Exciting! Could you tell me where will it be happening?
Receptie,That sounds great! Can you share the location of the event?
18 cumpleanos,That sounds great! Can you share the location of the event?
Cata a la flamenca,Exciting! Could you tell me where will it be happening?
Amenizacion de las cenas,Sounds nice! Where is it?
Eenzame medemens kerstfeest ,Sounds nice! Where is it?
Pub,Cool! Could you tell me where is it?
cena,That sounds great! Can you share the location of the event?
mi cumle,Cool! Could you tell me where is it?
Fin de ano ,That sounds great! Can you share the location of the event?
25 jarig huwelijk,Sounds nice! Where is it?
Apertura de bar,Cool! Could you tell me where is it?
Borrel 22 december 2022,Sounds nice! Where is it?
feest voor mijn vrouw ,Exciting! Could you tell me where will it be happening?
Pub,That sounds great! Can you share the location of the event?
Festa de Passagem de Ano ,Cool! Could you tell me where is it?
Fete foraine ,Exciting! Could you tell me where will it be happening?
Fiesta de verano,Sounds nice! Where is it?
receptie,Cool! Could you tell me where is it?
Sesion vemut en un pub,Exciting! Could you tell me where will it be happening?
Cumpleanos ,Cool! Could you tell me where is it?
Festival,Sounds nice! Where is it?
Tuinfeest/huwelijk ,Cool! Could you tell me where is it?
Sweet sixteen,Cool! Could you tell me where is it?
Verjaardag + afstudeerfeest ,Sounds nice! Where is it?
Inauguracion de local,Cool! Could you tell me where is it?
50 cumpleanos,Exciting! Could you tell me where will it be happening?
Motorchallenge ,Cool! Could you tell me where is it?
Nieuwjaarsbijeenkomst,Exciting! Could you tell me where will it be happening?
Prive diner optreden,Sounds nice! Where is it?
es un test del equipo tecnico de Gigstarter,Exciting! Could you tell me where will it be happening?
Burgelijke trouw,Exciting! Could you tell me where will it be happening?
cumpleanos,That sounds great! Can you share the location of the event?
cumpleanos,That sounds great! Can you share the location of the event?
Nochevieja,Cool! Could you tell me where is it?
3e helft en jaarafsluiting bij voetbalclub XerxesDZB in Rotterdam,Sounds nice! Where is it?
bruiloft,Sounds nice! Where is it?
Comida popular,Cool! Could you tell me where is it?
Actuaciones viernes de 20 a 22,Exciting! Could you tell me where will it be happening?
Dia del Padre,Cool! Could you tell me where is it?
Hochzeit,Sounds nice! Where is it?
Bruiloft,Cool! Could you tell me where is it?
Surprise party,Cool! Could you tell me where is it?
Verjaardag,Sounds nice! Where is it?
Boda ,Exciting! Could you tell me where will it be happening?
Boda ,Exciting! Could you tell me where will it be happening?
Capodanno,That sounds great! Can you share the location of the event?
Rave,That sounds great! Can you share the location of the event?
Cumpleanos ,Exciting! Could you tell me where will it be happening?
Boda,Cool! Could you tell me where is it?
kerst of nieuwjaarsdag,That sounds great! Can you share the location of the event?
New Year's Eve,Sounds nice! Where is it?
Bruiloft ,That sounds great! Can you share the location of the event?
Nieuwjaarsreceptie,Cool! Could you tell me where is it?
Boda ,Cool! Could you tell me where is it?
Carbidschieten en graag wat live muziek bij het naborrelen,Cool! Could you tell me where is it?
Nieuwjaarsfeest,Cool! Could you tell me where is it?
Sweet 16 ,Exciting! Could you tell me where will it be happening?
Nochevieja,That sounds great! Can you share the location of the event?
Passagem de ano,Sounds nice! Where is it?
Schulfeier,Cool! Could you tell me where is it?
Cumpleanos 18,Cool! Could you tell me where is it?
"Retro event (wielerkoers, oldtimer, optreden in tent)",That sounds great! Can you share the location of the event?
Amenizar tarde en restaurante,Exciting! Could you tell me where will it be happening?
3e kerstdag 10-jarig jubileum ,Exciting! Could you tell me where will it be happening?
oudjaar,Exciting! Could you tell me where will it be happening?
feest,Sounds nice! Where is it?
Carnaval,Exciting! Could you tell me where will it be happening?
Baile noche ,That sounds great! Can you share the location of the event?
Cumple anos ,Cool! Could you tell me where is it?
fiesta ano nuevo ayuntamiento aljaraque,Exciting! Could you tell me where will it be happening?
Verjaardag,Cool! Could you tell me where is it?
verjaardag 40 a 50 personen in gezellig zaaltje met bar,Sounds nice! Where is it?
Passagem de ano,Exciting! Could you tell me where will it be happening?
Aniversario,Exciting! Could you tell me where will it be happening?
Concentracion de motos,That sounds great! Can you share the location of the event?
Evenement d'entreprise (repas nouvelle annee),That sounds great! Can you share the location of the event?
Bruiloft,Exciting! Could you tell me where will it be happening?
verjaardag,Sounds nice! Where is it?
45 cumpleanos ,Sounds nice! Where is it?
Hoffest,Sounds nice! Where is it?
Verloving ,Exciting! Could you tell me where will it be happening?
Evento motor / concentracion,Sounds nice! Where is it?
Cumpleanos,Sounds nice! Where is it?
Verjaardag,That sounds great! Can you share the location of the event?
Huwelijksaanzoek,Exciting! Could you tell me where will it be happening?
Nieuwjaarsborrel/feest,That sounds great! Can you share the location of the event?
Feest,Sounds nice! Where is it?
Boda informal ( fiesta),Cool! Could you tell me where is it?
Lokaal Scoutsfestival,That sounds great! Can you share the location of the event?
"12,5 jaar bruiloftsfeest",That sounds great! Can you share the location of the event?
Geburtstag,That sounds great! Can you share the location of the event?
Boda,Cool! Could you tell me where is it?
Beverwijk Live,That sounds great! Can you share the location of the event?
Wedding,Sounds nice! Where is it?
Verjaardagsborrel,Sounds nice! Where is it?
rock and roll party,Exciting! Could you tell me where will it be happening?
Bruiloft ,Exciting! Could you tell me where will it be happening?
wijkkermis,That sounds great! Can you share the location of the event?
Jubileum festival feest,That sounds great! Can you share the location of the event?
Happy Hour,Exciting! Could you tell me where will it be happening?
Verjaardag ,Cool! Could you tell me where is it?
"Sommerparty , nachgefeierte Hochzeit",Sounds nice! Where is it?
Ehrungsvergaben,That sounds great! Can you share the location of the event?
Handbal vereniging feestavond,Cool! Could you tell me where is it?
Lustrumgalafeest,Sounds nice! Where is it?
Carnaval ,That sounds great! Can you share the location of the event?
Rollatorrock: een klein 'festival' op de Zorgcampus Hof Ter Schelde.,Exciting! Could you tell me where will it be happening?
Fiesta de techno,Sounds nice! Where is it?
Hochzeit,Cool! Could you tell me where is it?
Beerdigung,Cool! Could you tell me where is it?
5 jarig bestaan,Exciting! Could you tell me where will it be happening?
Wekelijkse optreden,Cool! Could you tell me where is it?
Verjaardagfeest,That sounds great! Can you share the location of the event?
Verjaardag,Exciting! Could you tell me where will it be happening?
Hochzeit,Sounds nice! Where is it?
Aniversaire,Cool! Could you tell me where is it?
Pensioen leerkracht,Cool! Could you tell me where is it?
Cumpleanos de 15 ,Cool! Could you tell me where is it?
Bruiloft,Sounds nice! Where is it?
verjaardag,Exciting! Could you tell me where will it be happening?
Spaanse avond,Cool! Could you tell me where is it?
bruiloft,Cool! Could you tell me where is it?
Festa aniversario 50 anos,That sounds great! Can you share the location of the event?
"cafe, buine kroeg",That sounds great! Can you share the location of the event?
40 cumpleanos,Cool! Could you tell me where is it?
Bruiloft ,Exciting! Could you tell me where will it be happening?
Cumpleanos 40 anos,Exciting! Could you tell me where will it be happening?
Cumpleanos sorpresa,Sounds nice! Where is it?
Verjaardag,Cool! Could you tell me where is it?
Personeelsfeest,That sounds great! Can you share the location of the event?
Feest,That sounds great! Can you share the location of the event?
Verjaardag,That sounds great! Can you share the location of the event?
bruiloft,Sounds nice! Where is it?
trouwfeest,Cool! Could you tell me where is it?
bruiloft,Sounds nice! Where is it?
verjaardag feestje,That sounds great! Can you share the location of the event?
The Passion Overdinkel (solist) ,Cool! Could you tell me where is it?
Cumpleanos,Exciting! Could you tell me where will it be happening?
Afstudeerbeurs,Cool! Could you tell me where is it?
Bruiloft ,Exciting! Could you tell me where will it be happening?
Huwelijk,Cool! Could you tell me where is it?
Feest ivm 50e een 55e verjaardag en 30e huwelijksdag,Cool! Could you tell me where is it?
Fete station,Exciting! Could you tell me where will it be happening?
Bruiloft,Exciting! Could you tell me where will it be happening?
culinaire wandeling,Exciting! Could you tell me where will it be happening?
Cena san Valentin ,Sounds nice! Where is it?
Geburtstagsfest,Exciting! Could you tell me where will it be happening?
Cumpleanos 60 anos!,Cool! Could you tell me where is it?
Boa,Exciting! Could you tell me where will it be happening?
Procesion semana santa,That sounds great! Can you share the location of the event?
Carpe Rockt'em,That sounds great! Can you share the location of the event?
Boda,Cool! Could you tell me where is it?
Hochzeit ,Sounds nice! Where is it?
Boda,Exciting! Could you tell me where will it be happening?
Club feest,Cool! Could you tell me where is it?
Een benefiet ter voordelen voor h.b.k mol  help brandwonde kids,Cool! Could you tell me where is it?
Verjaardag 60,Sounds nice! Where is it?
sabado de 13H / 15 H. por la terraza de mi restaurante ,Sounds nice! Where is it?
Tuinfeest voor 60 personen,Cool! Could you tell me where is it?
Bruiloft,Exciting! Could you tell me where will it be happening?
Bruiloft  75 pers,That sounds great! Can you share the location of the event?
1ste mei feest van vooruit berlare,Sounds nice! Where is it?
Hochzeit ,Exciting! Could you tell me where will it be happening?
"Bruiloft, inloop, receptie",Sounds nice! Where is it?
Jubileum 50 jaar huwelijk,Sounds nice! Where is it?
meiavondfeest ,Exciting! Could you tell me where will it be happening?
Fantasy / cosplay / steampunk evenement ,Exciting! Could you tell me where will it be happening?
Bruiloft,Cool! Could you tell me where is it?
Boda ,Cool! Could you tell me where is it?
Cumpleanos,Sounds nice! Where is it?
Party  Geburtstag 10 mann und Frauen ,Exciting! Could you tell me where will it be happening?
Party,That sounds great! Can you share the location of the event?
35 jarig huwelijksfeest,Sounds nice! Where is it?
Bruiloft,Sounds nice! Where is it?
Lentefeest voor leden van Ferm Tildonk,Sounds nice! Where is it?
Festa de Aniversario,Sounds nice! Where is it?
St. Patrick's Day Party,Exciting! Could you tell me where will it be happening?
verjaardag ,Exciting! Could you tell me where will it be happening?
Fiesta de los 18,Sounds nice! Where is it?
Bedrijfsfeest Albert Heijn,That sounds great! Can you share the location of the event?
bruiloft,Exciting! Could you tell me where will it be happening?
Comunion ,Cool! Could you tell me where is it?
50 cumpleanos,Cool! Could you tell me where is it?
(huwelijks)verjaardag,Exciting! Could you tell me where will it be happening?
Anniversaire de mon fils 18 ans ,Sounds nice! Where is it?
Carnaval,Exciting! Could you tell me where will it be happening?
Verjaarsfeest,Exciting! Could you tell me where will it be happening?
Hochzeit,Cool! Could you tell me where is it?
Cumpleanos ,That sounds great! Can you share the location of the event?
Trouwen,Sounds nice! Where is it?
Fiesta de un pueblo ,Sounds nice! Where is it?
Verjaardag 50 jaar,Sounds nice! Where is it?
cumpleanos,Sounds nice! Where is it?
Boda,Cool! Could you tell me where is it?
Bruiloft ,Sounds nice! Where is it?
Apero concert kermesse de l'ecole,Cool! Could you tell me where is it?
50 Cumpleanos,Sounds nice! Where is it?
tributo luz casal hechizado,Cool! Could you tell me where is it?
bruiloft,That sounds great! Can you share the location of the event?
Fiesta privada,Cool! Could you tell me where is it?
"12,5 jarig huwelijk en 50ste verjaardag ineen ",Sounds nice! Where is it?
Cumpleanos ,Sounds nice! Where is it?
Fiesta de graduacion,Exciting! Could you tell me where will it be happening?
Boda,Sounds nice! Where is it?
50 jarige verjaardag,Sounds nice! Where is it?
Festival/Privatfeier,Exciting! Could you tell me where will it be happening?
Cumpleanos,That sounds great! Can you share the location of the event?
Bedrijfsuitje,Sounds nice! Where is it?
Bruiloft,Exciting! Could you tell me where will it be happening?
Verjaardag ,Cool! Could you tell me where is it?
Cafe ,Exciting! Could you tell me where will it be happening?
bruiloft,Cool! Could you tell me where is it?
Cumpleanos ,Cool! Could you tell me where is it?
18 Cumpleanos ,Cool! Could you tell me where is it?
50 cumpleanos,Exciting! Could you tell me where will it be happening?
uitvaart,Sounds nice! Where is it?
Festival private Feier,Exciting! Could you tell me where will it be happening?
25-jarig huwelijksjubileum,That sounds great! Can you share the location of the event?
verjaardag,That sounds great! Can you share the location of the event?
Cumpleanos ,That sounds great! Can you share the location of the event?
Bruiloft,That sounds great! Can you share the location of the event?
St patricks day event,Sounds nice! Where is it?
Familienfeier,That sounds great! Can you share the location of the event?
Kleine bruilift,Cool! Could you tell me where is it?
Borrel,Exciting! Could you tell me where will it be happening?
Evento da Empresa,Cool! Could you tell me where is it?
Bruiloft overdag,Sounds nice! Where is it?
Cafe ,Exciting! Could you tell me where will it be happening?
Cumpleanos,Exciting! Could you tell me where will it be happening?
comida de amigos con larga sobremesa musical,That sounds great! Can you share the location of the event?
evento privado,Exciting! Could you tell me where will it be happening?
Geburtstag ,Cool! Could you tell me where is it?
Bruiloft ,That sounds great! Can you share the location of the event?
Bruiloft,Cool! Could you tell me where is it?
Boda,Cool! Could you tell me where is it?
Cumpleanos,Exciting! Could you tell me where will it be happening?
Verjaardag,That sounds great! Can you share the location of the event?
Valentines Day / Salvador Dali Opening Night,That sounds great! Can you share the location of the event?
Dia de comadres,Exciting! Could you tell me where will it be happening?
Discotheque ,That sounds great! Can you share the location of the event?
Saint Valentin,Sounds nice! Where is it?
Zomerfeest,Sounds nice! Where is it?
Cumpleanos ,That sounds great! Can you share the location of the event?
Valentines evening ,Sounds nice! Where is it?
Motorclub winterfeest,Exciting! Could you tell me where will it be happening?
Bruiloft ,Sounds nice! Where is it?
Afsluitfeestje v e weekend,Cool! Could you tell me where is it?
Desmadre ganso,Exciting! Could you tell me where will it be happening?
Bruiloft,Sounds nice! Where is it?
bruiloft,That sounds great! Can you share the location of the event?
Bruiloft,Exciting! Could you tell me where will it be happening?
Steenkerke kermis,Cool! Could you tell me where is it?
Fiesta popular,Cool! Could you tell me where is it?
Bruiloft ,Sounds nice! Where is it?
Carnaval ,Sounds nice! Where is it?
bruiloft,Cool! Could you tell me where is it?
Kermis/ jaarmarkt ,That sounds great! Can you share the location of the event?
Festa di compleanno,That sounds great! Can you share the location of the event?
30th Birthday Party,Exciting! Could you tell me where will it be happening?
Geburtstag 50 er,That sounds great! Can you share the location of the event?
verjaardagsfeeste,Sounds nice! Where is it?
Opening,That sounds great! Can you share the location of the event?
Bruiloft,Sounds nice! Where is it?
100 jarig bestaan Roei/ zeilvereniging: dansfeest,Sounds nice! Where is it?
"25 jaar getrouwd, sara en abraham",That sounds great! Can you share the location of the event?
Festa de Aniversario,Cool! Could you tell me where is it?
Mariage ,That sounds great! Can you share the location of the event?
Jazz & blues avond 28/10/23,Cool! Could you tell me where is it?
koningsdag,Sounds nice! Where is it?
bruiloft,Cool! Could you tell me where is it?
Verjaardag,Sounds nice! Where is it?
Verjaardagsfeest +,Exciting! Could you tell me where will it be happening?
Verjaardag ,Exciting! Could you tell me where will it be happening?
Verjaardag ,Sounds nice! Where is it?
"Festa Locale "" Pig Party =",Sounds nice! Where is it?
Jubileum ,Exciting! Could you tell me where will it be happening?
Wedding,That sounds great! Can you share the location of the event?
Cafe ,That sounds great! Can you share the location of the event?
Verjaardag 50 jaar,That sounds great! Can you share the location of the event?
Tournage etudiant ,That sounds great! Can you share the location of the event?
Cumpleanos,Exciting! Could you tell me where will it be happening?
Galabal secundaire school,Sounds nice! Where is it?
Cumpleanos,That sounds great! Can you share the location of the event?
Kermis/Festival ,That sounds great! Can you share the location of the event?
Seniorennamiddag op het Bal van de Burgemeester,Cool! Could you tell me where is it?
Cumpleanos,Cool! Could you tell me where is it?
wekelijks live optreden,Exciting! Could you tell me where will it be happening?
Birthday party,Cool! Could you tell me where is it?
Zomerserie op zondagmiddag,Sounds nice! Where is it?
St patricksday,Exciting! Could you tell me where will it be happening?
Verjaardag 50,That sounds great! Can you share the location of the event?
dia dos namorados ,Sounds nice! Where is it?
Dringnd! Verjaardag / LAST MINUTE band wegens annulatie(ziekte),Sounds nice! Where is it?
15jarig huwelijk,Cool! Could you tell me where is it?
cena de asociacion,Sounds nice! Where is it?
Partita di calcio con tamburi,Sounds nice! Where is it?
Verjaardag tweeling 50 jaar,Cool! Could you tell me where is it?
Fiesta de disfraces ,Exciting! Could you tell me where will it be happening?
"Verjaardag 60 jaar, ca 50/60 mensen aanwezig ",Exciting! Could you tell me where will it be happening?
Verjaardag 60 Jaar,Sounds nice! Where is it?
Bruiloft,Exciting! Could you tell me where will it be happening?
Fiesta flamenca,Cool! Could you tell me where is it?
Ceremonie huwelijk,Sounds nice! Where is it?
60-jarige verjaardag,Cool! Could you tell me where is it?
Concierto en campus FP Humanes,Cool! Could you tell me where is it?
boda,That sounds great! Can you share the location of the event?
30ste verjaardag,Exciting! Could you tell me where will it be happening?
minifestival op Woodstock minicamping,Cool! Could you tell me where is it?
jubileum,Exciting! Could you tell me where will it be happening?
Verjaardag 65,That sounds great! Can you share the location of the event?
verjaardag,Sounds nice! Where is it?
Primer sabado de magdalena ,Sounds nice! Where is it?
40 jarige verjaardag,That sounds great! Can you share the location of the event?
sweet 18,Cool! Could you tell me where is it?
verjaardag,Sounds nice! Where is it?
Cumpleanos de 18 anos,That sounds great! Can you share the location of the event?
Hochzeit ,Exciting! Could you tell me where will it be happening?
verjaardag,Cool! Could you tell me where is it?
Fiesta carnaval ,Exciting! Could you tell me where will it be happening?
Cumpleanos,Exciting! Could you tell me where will it be happening?
Diverse evenementen in Vesting Bourtange,Cool! Could you tell me where is it?
Restaurante Tony Romas Mostoles ,Exciting! Could you tell me where will it be happening?
Koningsdag in het Erasmuspark,Sounds nice! Where is it?
Kermis in Oudenaarde ,Exciting! Could you tell me where will it be happening?
Koningsdag en de jazz,Cool! Could you tell me where is it?
Cumpleanos,That sounds great! Can you share the location of the event?
Bandavond in De Klup (Buurthuis voor mensen met een verstandelijke beperking),That sounds great! Can you share the location of the event?
12 1/2 jarige bruiloft in een kroeg ,Cool! Could you tell me where is it?
kermis gebeuren in de gemeente,That sounds great! Can you share the location of the event?
Bodas de un plata,That sounds great! Can you share the location of the event?
Cumpleanos,Exciting! Could you tell me where will it be happening?
Cumpleanos,That sounds great! Can you share the location of the event?
verjaardag,Cool! Could you tell me where is it?
"Flodderweekend, optreden",Exciting! Could you tell me where will it be happening?
Boda,Sounds nice! Where is it?
Gencker Gala,Sounds nice! Where is it?
Sunday Blues,Exciting! Could you tell me where will it be happening?
cumpleanos,Exciting! Could you tell me where will it be happening?
Bodas de plata,Exciting! Could you tell me where will it be happening?
Bodas de plata,Exciting! Could you tell me where will it be happening?
Concierto para falla,Cool! Could you tell me where is it?
Bruiloft ,Cool! Could you tell me where is it?
Verjaardag,Sounds nice! Where is it?
bruiloft,Sounds nice! Where is it?
bruiloft,Cool! Could you tell me where is it?
Bedrijfsfeest,Exciting! Could you tell me where will it be happening?
Fiesta local,Sounds nice! Where is it?
Boda,Cool! Could you tell me where is it?
cumpleanos,Exciting! Could you tell me where will it be happening?
Comunion ,Exciting! Could you tell me where will it be happening?
Dancing diner ,Cool! Could you tell me where is it?
Un baile popular ,Exciting! Could you tell me where will it be happening?
lifestyle,That sounds great! Can you share the location of the event?
feria taurine animattion  aperitif repas,That sounds great! Can you share the location of the event?
Festa,Exciting! Could you tell me where will it be happening?
Verjaardag moeder 60 jaar,Cool! Could you tell me where is it?
testtest,Cool! Could you tell me where is it?
koningsdag,That sounds great! Can you share the location of the event?
AUGUSTIJNFEESTEN,Sounds nice! Where is it?
Sommerfest im Kleingartenverein ,Sounds nice! Where is it?
Verjaardag 60 jaar,Sounds nice! Where is it?
Verjaardag,Sounds nice! Where is it?
verjaardag 50 jaar,Cool! Could you tell me where is it?
Bruiloft,That sounds great! Can you share the location of the event?
Compleanos,Sounds nice! Where is it?
Boda,Exciting! Could you tell me where will it be happening?
Buurtfeest,That sounds great! Can you share the location of the event?
bedrijfsfeest,Sounds nice! Where is it?
festival electro rock,Sounds nice! Where is it?
Optreden na een recreatie beachvolleybaltornooi,Exciting! Could you tell me where will it be happening?
Autohappening / rockabilly's/ oldtimerrit ,That sounds great! Can you share the location of the event?
Fiesta   barrio,Sounds nice! Where is it?
Intieme verjaardag,Exciting! Could you tell me where will it be happening?
verjaardag,Cool! Could you tell me where is it?
bedrijfs opendeurdagen,Sounds nice! Where is it?
Tocar num bar ,Exciting! Could you tell me where will it be happening?
St. Patricksday,Cool! Could you tell me where is it?
Brunch,Exciting! Could you tell me where will it be happening?
Cumpleanos ,Exciting! Could you tell me where will it be happening?
Paasbrunch,Sounds nice! Where is it?
St Patrick's day,That sounds great! Can you share the location of the event?
intiem huwelijk,Exciting! Could you tell me where will it be happening?
Paasbrunch,That sounds great! Can you share the location of the event?
