question,answer,context,topic
Monachium,"Sounds promising. Are you looking for a DJ, band, ensemble or solo artist?","User: its a work event Bot: Cool! Could you tell me where is it? User: Monachium Bot: Sounds promising. Are you looking for a DJ, band, ensemble or solo artist?",location
i dont care.,Okay then. Which music genre are you interested in?,"User: its a work event Bot: Cool! Could you tell me where is it? User: Monachium. Bot: Sounds promising. Are you looking for a DJ, band, ensemble or solo artist? User: i dont care. Bot: Okay then. Which music genre are you interested in?",formation
maybe hip hop or rock,Okay. How much would you like to pay?,"User: its a work event Bot: Cool! Could you tell me where is it? User: Monachium. Bot: Sounds promising. Are you looking for a DJ, band, ensemble or solo artist? User: i dont care. Bot: Okay then. Which music genre are you interested in? User: maybe hip hop or rock Bot: Okay. How much would you like to pay?",genre
i dont wont to spend more than 1000 euros,Noted. Here are some artists that might interest you.,"User: its a work event Bot: Cool! Could you tell me where is it? User: Monachium. Bot: Sounds promising. Are you looking for a DJ, band, ensemble or solo artist? User: i dont care. Bot: Okay then. Which music genre are you interested in? User: maybe hip hop or rock. Bot: Okay. How much would you like to pay? User: i dont wont to spend more than 1000 euros Bot: Noted. Here are some artists that might interest you.",price
thanks,No worries.,"User: its a work event Bot: Cool! Could you tell me where is it? User: Monachium. Bot: Sounds promising. Are you looking for a DJ, band, ensemble or solo artist? User: i dont care. Bot: Okay then. Which music genre are you interested in? User: maybe hip hop or rock. Bot: Okay. How much would you like to pay? User: i dont wont to spend more than 1000 euros. Bot: Noted. Here are some artists that might interest you. User: thanks Bot: No worries.",conclusion
its a suprise birthday party for my mom,That sounds great! Can you share the location of the event?,User: its a suprise birthday party for my mom Bot: That sounds great! Can you share the location of the event?,occasion
Groningen,"Interesting. What type of musical formation are you considering? DJ, band, ensemble, or a solo artist?",Bot: That sounds great! Can you share the location of the event? User: Groningen,location
i dont care.,"Alright. Do you have a preference for the music genre? Hip hop, rock, or something else?","User: its a suprise birthday party for my mom Bot: That sounds great! Can you share the location of the event? User: Groningen. Bot: Interesting. What type of musical act are you considering? DJ, band, ensemble, or a solo artist? User: i dont care. Bot: Alright. Do you have a preference for the music genre? Hip hop, rock, or something else?",formation
maybe hip hop or rock,Got it. What's your budget limit for this?,"User: its a suprise birthday party for my mom Bot: That sounds great! Can you share the location of the event? User: Groningen. Bot: Interesting. What type of musical formation are you considering? DJ, band, ensemble, or a solo artist? User: i dont care. Bot: Alright. Do you have a preference for the music genre? Hip hop, rock, or something else? User: maybe hip hop or rock Bot: Got it. What's your budget limit for this?",genre
i dont wont to spend more than 1000 euros,Understood. I'll show you some artists that fit your criteria.,"User: its a suprise birthday party for my mom Bot: That sounds great! Can you share the location of the event? User: Groningen. Bot: Interesting. What type of musical formation are you considering? DJ, band, ensemble, or a solo artist? User: i dont care. Bot: Alright. Do you have a preference for the music genre? Hip hop, rock, or something else? User: maybe hip hop or rock. Bot: Got it. What's your budget limit for this? User: i dont wont to spend more than 1000 euros Bot: Understood. I'll show you some artists that fit your criteria.",price
thank you!,It was a pleasure.,"User: its a suprise birthday party for my mom Bot: That sounds great! Can you share the location of the event? User: Groningen. Bot: Interesting. What type of musical formation are you considering? DJ, band, ensemble, or a solo artist? User: i dont care. Bot: Alright. Do you have a preference for the music genre? Hip hop, rock, or something else? User: maybe hip hop or rock. Bot: Got it. What's your budget limit for this? User: i dont wont to spend more than 1000 euros. Bot: Understood. I'll show you some artists that fit your criteria. User: thank you! Bot: It was a pleasure.",conclusion
its a graduation of my daughter,Cool! Could you tell me where is it?,User: its a graduation of my daughter Bot: Cool! Could you tell me where is it?,occasion
Berlin,"Sounds promising. Are you looking for a DJ, band, ensemble or solo artist?","User: its a graduation of my daughter Bot: Cool! Could you tell me where is it? User: Berlin Bot: Sounds promising. Are you looking for a DJ, band, ensemble or solo artist?",location
I'm not sure yet.,Okay then. Which music genre are you interested in?,"User: its a graduation of my daughter Bot: Cool! Could you tell me where is it? User: Berlin. Bot: Sounds promising. Are you looking for a DJ, band, ensemble or solo artist? User: I'm not sure yet. Bot: Okay then. Which music genre are you interested in?",formation
Maybe electronic or indie.,Okay. How much would you like to pay?,"User: its a graduation of my daughter Bot: Cool! Could you tell me where is it? User: Berlin. Bot: Sounds promising. Are you looking for a DJ, band, ensemble or solo artist? User: I'm not sure yet. Bot: Okay then. Which music genre are you interested in? User: Maybe electronic or indie. Bot: Okay. How much would you like to pay?",genre
"I'm flexible, but not more than $1000.",Noted. Here are some artists that might interest you.,"User: its a graduation of my daughter Bot: Cool! Could you tell me where is it? User: Berlin. Bot: Sounds promising. Are you looking for a DJ, band, ensemble or solo artist? User: I'm not sure yet. Bot: Okay then. Which music genre are you interested in? User: Maybe electronic or indie. Bot: Okay. How much would you like to pay? User: I'm flexible, but not more than $1000. Bot: Noted. Here are some artists that might interest you.",price
thanks,You're welcome.,"User: its a graduation of my daughter Bot: Cool! Could you tell me where is it? User: Berlin. Bot: Sounds promising. Are you looking for a DJ, band, ensemble or solo artist? User: I'm not sure yet. Bot: Okay then. Which music genre are you interested in? User: Maybe electronic or indie. Bot: Okay. How much would you like to pay? User: I'm flexible, but not more than $1000. Bot: Noted. Here are some artists that might interest you. User: thanks Bot: You're welcome.",conclusion
its an anniversary of my company,That sounds great! Can you share the location of the event?,User: its an anniversary of my company Bot: That sounds great! Can you share the location of the event?,occasion
Miami,"Interesting. What type of musical act are you considering? DJ, band, ensemble, or a solo artist?","User: its an anniversary of my company Bot: That sounds great! Can you share the location of the event? User: Miami Bot: Interesting. What type of musical act are you considering? DJ, band, ensemble, or a solo artist?",location
I'm not sure. It's for my sister's birthday and my father's 50th birthday celebration.,Alright. Do you have a preference for the music genre?,"User: its an anniversary of my company Bot: That sounds great! Can you share the location of the event? User: Miami. Bot: Interesting. What type of musical act are you considering? DJ, band, ensemble, or a solo artist? User: I'm not sure. It's for my sister's birthday and my father's 50th birthday celebration. Bot: Alright. Do you have a preference for the music genre?",formation
"I'm not picky, but something upbeat would be nice.",Got it. What's your budget limit for this?,"User: its an anniversary of my company Bot: That sounds great! Can you share the location of the event? User: Miami. Bot: Interesting. What type of musical act are you considering? DJ, band, ensemble, or a solo artist? User: I'm not sure. It's for my sister's birthday and my father's 50th birthday celebration. Bot: Alright. Do you have a preference for the music genre? User: I'm not picky, but something upbeat would be nice. Bot: Got it. What's your budget limit for this?",genre
"I haven't decided yet, but I'll try to keep it reasonable.",Understood. I'll keep that in mind while suggesting artists.,"User: its an anniversary of my company Bot: That sounds great! Can you share the location of the event? User: Miami. Bot: Interesting. What type of musical act are you considering? DJ, band, ensemble, or a solo artist? User: I'm not sure. It's for my sister's birthday and my father's 50th birthday celebration. Bot: Alright. Do you have a preference for the music genre? User: I'm not picky, but something upbeat would be nice. Bot: Got it. What's your budget limit for this? User: I haven't decided yet, but I'll try to keep it reasonable. Bot: Understood. I'll keep that in mind while suggesting artists.",price
amazing,I'm glad to help.,"User: its an anniversary of my company Bot: That sounds great! Can you share the location of the event? User: Miami. Bot: Interesting. What type of musical act are you considering? DJ, band, ensemble, or a solo artist? User: I'm not sure. It's for my sister's birthday and my father's 50th birthday celebration. Bot: Alright. Do you have a preference for the music genre? User: I'm not picky, but something upbeat would be nice. Bot: Got it. What's your budget limit for this? User: I haven't decided yet, but I'll try to keep it reasonable. Bot: Understood. I'll keep that in mind while suggesting artists. User: amazing Bot: I'm glad to help.",conclusion
we are celebrating a game,That sounds great! Can you share the location of the event?,User: we are celebrating a game Bot: That sounds great! Can you share the location of the event?,occasion
"Chicago, I guess?","Interesting. What type of musical act are you considering? DJ, band, ensemble, or a solo artist?","User: we are celebrating a game Bot: That sounds great! Can you share the location of the event? User: Chicago, I guess? Bot: Interesting. What type of musical act are you considering? DJ, band, ensemble, or a solo artist?",location
"Hmm, not sure, maybe just a DJ or something?",Alright. Do you have a preference for the music genre?,"User: we are celebrating a game Bot: That sounds great! Can you share the location of the event? User: Chicago, I guess? Bot: Interesting. What type of musical act are you considering? DJ, band, ensemble, or a solo artist? User: Hmm, not sure, maybe just a DJ or something? Bot: Alright. Do you have a preference for the music genre?",formation
"I don't know, something fun?",Got it. What's your budget limit for this?,"User: we are celebrating a game Bot: That sounds great! Can you share the location of the event? User: Chicago, I guess? Bot: Interesting. What type of musical act are you considering? DJ, band, ensemble, or a solo artist? User: Hmm, not sure, maybe just a DJ or something? Bot: Alright. Do you have a preference for the music genre? User: I don't know, something fun? Bot: Got it. What's your budget limit for this?",genre
"Ehh, probably not too much, maybe like a few hundred bucks?",Understood. I'll keep that in mind while suggesting artists.,"User: we are celebrating a game Bot: That sounds great! Can you share the location of the event? User: Chicago, I guess? Bot: Interesting. What type of musical act are you considering? DJ, band, ensemble, or a solo artist? User: Hmm, not sure, maybe just a DJ or something? Bot: Alright. Do you have a preference for the music genre? User: I don't know, something fun? Bot: Got it. What's your budget limit for this? User: Ehh, probably not too much, maybe like a few hundred bucks? Bot: Understood. I'll keep that in mind while suggesting artists.",price
,No problem.,"User: we are celebrating a game Bot: That sounds great! Can you share the location of the event? User: Chicago, I guess? Bot: Interesting. What type of musical act are you considering? DJ, band, ensemble, or a solo artist? User: Hmm, not sure, maybe just a DJ or something? Bot: Alright. Do you have a preference for the music genre? User: I don't know, something fun? Bot: Got it. What's your budget limit for this? User: Ehh, probably not too much, maybe like a few hundred bucks? Bot: Understood. I'll keep that in mind while suggesting artists. User: Bot No problem.",conclusion
i got a promotion at work,Sounds nice! Where is it?,User: i got a promotion at work Bot: Sounds nice! Where is it?,occasion
In Berlin.,"I like this area. Are you looking for a DJ, band, ensemble, or solo artist?","User: i got a promotion at work Bot: Sounds nice! Where is it? User: In Berlin. Bot: I like this area. Are you looking for a DJ, band, ensemble, or solo artist?",location
Solo artist.,Good choice. Which music genre are you interested in?,"User: i got a promotion at work Bot: Sounds nice! Where is it? User: In Berlin. Bot: I like this area. Are you looking for a DJ, band, ensemble, or solo artist? User: Solo artist. Bot: Good choice. Which music genre are you interested in?",formation
Pop.,Nice. How much would you like to pay?,"User: i got a promotion at work Bot: Sounds nice! Where is it? User: In Berlin. Bot: I like this area. Are you looking for a DJ, band, ensemble, or solo artist? User: Solo artist. Bot: Good choice. Which music genre are you interested in? User: Pop. Bot: Nice. How much would you like to pay?",genre
$600.,Noted. Check the website. Here are some artists that might interest you.,"User: i got a promotion at work Bot: Sounds nice! Where is it? User: In Berlin. Bot: I like this area. Are you looking for a DJ, band, ensemble, or solo artist? User: Solo artist. Bot: Good choice. Which music genre are you interested in? User: Pop. Bot: Nice. How much would you like to pay? User: $600. Bot: Noted. Check the website. Here are some artists that might interest you.",price
thank you very much,Sure!,"User: i got a promotion at work Bot: Sounds nice! Where is it? User: In Berlin. Bot: I like this area. Are you looking for a DJ, band, ensemble, or solo artist? User: Solo artist. Bot: Good choice. Which music genre are you interested in? User: Pop. Bot: Nice. How much would you like to pay? User: $600. Bot: Noted. Check the website. Here are some artists that might interest you. User: thank you very much Bot: Sure!",conclusion
